TiengAnh,TiengViet,TuLoai,ViDu
apple,"quả táo","danh từ","I ate an apple yesterday."
book,"sách","danh từ","This book is interesting."
run,"chạy","động từ","He can run fast."
happy,"vui vẻ","tính từ","She is happy today."
computer,"máy tính","danh từ","I bought a new computer."
eat,"ăn","động từ","We eat lunch at noon."
beautiful,"đẹp","tính từ","The flowers are beautiful."
school,"trường học","danh từ","The school is closed on weekends."
write,"viết","động từ","Please write your name here."
big,"to","tính từ","This house is big."
car,"xe hơi","danh từ","My car is red."
swim,"bơi","động từ","They swim in the pool."
small,"nhỏ","tính từ","The dog is small."
friend,"bạn","danh từ","She is my best friend."
dance,"nhảy","động từ","We dance every Friday night."
fast,"nhanh","tính từ","The cheetah is fast."
city,"thành phố","danh từ","New York is a big city."
sing,"hát","động từ","He likes to sing."
cold,"lạnh","tính từ","It is cold outside."
house,"ngôi nhà","danh từ","Their house is very comfortable."
jump,"nhảy","động từ","The cat can jump high."
red,"đỏ","tính từ","The apple is red."
dog,"con chó","danh từ","The dog barks loudly."
play,"chơi","động từ","Children love to play."
blue,"xanh dương","tính từ","The sky is blue."
tree,"cây","danh từ","The tree is tall."
read,"đọc","động từ","I read a book every night."
green,"xanh lá","tính từ","The grass is green."
fish,"cá","danh từ","I caught a fish."
cook,"nấu ăn","động từ","She can cook delicious meals."
yellow,"vàng","tính từ","The sun is yellow."
mountain,"núi","danh từ","We climbed the mountain."
hike,"đi bộ đường dài","động từ","They hike every weekend."
white,"trắng","tính từ","The snow is white."
river,"sông","danh từ","The river flows gently."
drive,"lái xe","động từ","He can drive a car."
black,"đen","tính từ","The night is black."
beach,"bãi biển","danh từ","We went to the beach."
surf,"lướt sóng","động từ","They surf in the ocean."
pink,"hồng","tính từ","The flowers are pink."
garden,"vườn","danh từ","The garden is full of flowers."
plant,"trồng","động từ","I plant vegetables in my garden."
purple,"tím","tính từ","The grapes are purple."
lake,"hồ","danh từ","The lake is very clear."
fish,"câu cá","động từ","He likes to fish on weekends."
orange,"cam","tính từ","The fruit is orange."
island,"đảo","danh từ","We visited a beautiful island."
sail,"chèo thuyền","động từ","They sail on the lake."
brown,"nâu","tính từ","The dog is brown."
forest,"rừng","danh từ","The forest is dense."
camp,"cắm trại","động từ","We camp in the forest."
gray,"xám","tính từ","The sky is gray."
desert,"sa mạc","danh từ","The desert is hot."
explore,"khám phá","động từ","They explore new places."
silver,"bạc","tính từ","The ring is silver."
ocean,"đại dương","danh từ","The ocean is vast."
dive,"lặn","động từ","He can dive deep."
gold,"vàng","tính từ","The necklace is gold."
valley,"thung lũng","danh từ","The valley is beautiful."
hike,"đi bộ","động từ","We hike in the valley."
bronze,"đồng","tính từ","The statue is bronze."
cave,"hang động","danh từ","The cave is dark."
explore,"thám hiểm","động từ","They explore the cave."
maroon,"đỏ thẫm","tính từ","The car is maroon."
waterfall,"thác nước","danh từ","The waterfall is stunning."
climb,"leo núi","động từ","We climb the waterfall area."
navy,"xanh hải quân","tính từ","The uniform is navy."
bridge,"cầu","danh từ","The bridge is long."
build,"xây dựng","động từ","They build a new bridge."
teal,"xanh ngọc","tính từ","The vase is teal."
castle,"lâu đài","danh từ","The castle is ancient."
defend,"bảo vệ","động từ","They defend the castle."
lavender,"tím nhạt","tính từ","The flowers are lavender."
museum,"bảo tàng","danh từ","The museum is fascinating."
visit,"thăm","động từ","We visit the museum."
mint,"xanh bạc hà","tính từ","The candy is mint."
theater,"rạp hát","danh từ","The theater is crowded."
watch,"xem","động từ","They watch a movie at the theater."
coral,"san hô","tính từ","The reef is coral."
aquarium,"bể cá","danh từ","The aquarium is full of fish."
feed,"cho ăn","động từ","We feed the fish at the aquarium."
uniform,"đồng phục","danh từ","The uniform is clean."
wear,"mặc","động từ","He wears a uniform to school."
marble,"cẩm thạch","tính từ","The statue is made of marble."
gallery,"phòng trưng bày","danh từ","The gallery has many paintings."
admire,"ngắm","động từ","We admire the art in the gallery."
charcoal,"than củi","tính từ","The drawing is done in charcoal."
